10,0.0
20,0.0
30,0.0
40,0.0
50,0.0
60,0.0
70,0.0
80,0.0
90,0.0
100,0.0
110,0.0
120,0.0
130,0.0
140,0.0
150,0.0
160,0.0
170,2.7218935
180,2.6350245
190,2.5784752
200,2.510232
210,2.455516
220,2.396117
230,2.3538673
240,2.3106363
250,2.2690723
260,2.2267585
270,2.1830986
280,2.1623178
290,2.1137056
300,2.0796292
310,2.0454388
320,2.009115
330,1.9744219
340,1.9465451
350,1.9120314
360,1.8793482
370,1.8529606
380,1.8192567
390,1.7902248
400,1.7641975
410,1.728892
420,1.7080834
430,1.6794325
440,1.6554002
450,1.6272507
460,1.6125636
470,1.5907036
480,1.563494
490,1.5453243
500,1.5236897
510,1.5039464
520,1.4907304
530,1.4722542
540,1.4526056
550,1.438655
560,1.4230442
570,1.4037834
580,1.3841137
590,1.3702345
600,1.3545697
610,1.3412479
620,1.3241985
630,1.3053685
640,1.2894566
650,1.2733141
660,1.2504112
670,1.2323854
680,1.2180119
690,1.20216
